model,disease,horizon,mae,rmse,r2,smape,recall_nz,precision_nz,mae_std_origin,mae_std_seed
sarima,sifilis,1,2.581582171923441,4.690911101021776,0.9204686002901384,84.64190684256046,0.9154929577464788,0.8333333333333334,0.5263687641288379,
seasonal_ma3,sifilis,1,3.0326087131448416,4.830531201531243,0.9207392119083416,98.25942686517864,0.8732394366197183,0.8266666666666667,0.6463372758455431,
seasonal_naive,sifilis,1,3.413043478260869,5.710366684088907,0.8931594448240203,96.67412550928412,0.8028169014084507,0.8636363636363636,0.7534838221191859,
tft,sifilis,1,3.273319366367043,5.964654795501775,0.8839081425723837,105.18153191526844,0.8591549295774648,0.8840579710144928,0.3174395917829216,
xgboost,sifilis,1,2.47385653756235,4.423927977513632,0.9329225792083184,84.05591814823377,0.9154929577464788,0.8666666666666667,0.3145786638661335,
catboost,sifilis,3,2.968147037141613,5.509826403325105,0.893077529217632,85.16413140546675,0.9324324324324323,0.8846153846153846,1.018830906448138,
deepar,sifilis,3,2.6924999813427744,4.458547095549846,0.9337904264697731,89.39102420295622,0.8918918918918919,0.88,0.4757988263080504,
gru,sifilis,3,3.327871395577475,6.061929387978111,0.8776072141736462,116.19390460491287,0.6756756756756757,0.925925925925926,0.8363729254430048,
lgbm,sifilis,3,2.6629361903156825,4.759969233246502,0.9164591482751312,83.7842181334327,0.918918918918919,0.8947368421052632,0.9162696776276524,
lstm,sifilis,3,3.625454719514522,6.736810019347753,0.8488379844215753,116.93517913298916,0.7297297297297297,0.9152542372881356,0.4758405943691595,
nhits,sifilis,3,3.455517309870967,5.547779699522389,0.8974885237589884,109.76564803119416,0.7702702702702703,0.9047619047619048,0.4867609022378545,
prophet,sifilis,3,2.422709693528456,4.014118384643403,0.9428837928422024,78.99073830788097,0.972972972972973,0.8674698795180723,0.6836486532259742,
sarima,sifilis,3,2.8055818600013205,4.680578134362114,0.9196204622767156,85.65066814908121,0.945945945945946,0.8974358974358975,0.8896682096308909,
seasonal_ma3,sifilis,3,2.8442029467095504,5.044170681543633,0.9106341182875468,85.65394988872714,0.918918918918919,0.8717948717948718,0.7267962819468652,
seasonal_naive,sifilis,3,3.489130434782609,6.555394366724656,0.8391873757608507,90.93104672150866,0.8783783783783784,0.8904109589041096,0.6831992276233035,
tft,sifilis,3,2.91521439084015,5.628478759076825,0.8944845302923357,96.0709363991181,0.8648648648648649,0.927536231884058,0.8313522494988625,
xgboost,sifilis,3,2.677621252996766,4.755454125288783,0.9180826891770532,83.9772407155979,0.9324324324324323,0.8734177215189873,0.849015259069705,
catboost,sifilis,6,2.4845684489670603,3.787204605228305,0.917064744657649,81.25630198944896,0.9452054794520548,0.8734177215189873,0.4825655448542118,
deepar,sifilis,6,3.3449998583604135,5.507453085010679,0.8432792441977532,99.37370454184114,0.8767123287671232,0.8205128205128205,0.542464256574907,
gru,sifilis,6,3.410360105330481,5.0262684116660425,0.8694682204790369,122.07467588642596,0.684931506849315,0.8771929824561403,1.24667311468024,
lgbm,sifilis,6,2.5081432187976724,3.618548507121414,0.9272728263217662,82.57500986745849,0.9452054794520548,0.8846153846153846,0.534399392121629,
