model,disease,horizon,n,mae,rmse,r2,smape,mape,origin
catboost,hepatite,3,23,0.1582943686087444,0.2919143762338536,0.7523175405796269,179.09701098618916,13.546382223591023,origin_202012
xgboost,hepatite,3,23,0.16398354299852383,0.29333190935982195,0.7499062132596094,179.89791166281915,13.39460802871896,origin_202012
prophet,hepatite,3,23,0.14947728502221921,0.3846854743790333,0.5698738373029704,137.55862553771314,10.144944304406698,origin_202012
seasonal_naive,hepatite,6,23,0.17391304347826086,0.41702882811414954,-0.5333333333333337,160.0,17.391304347826086,origin_202012
seasonal_ma3,hepatite,6,23,0.15942029331041419,0.2865756567333154,0.27592589800004474,146.07142829933034,15.942029331041418,origin_202012
sarima,hepatite,6,23,0.1666125934894012,0.3242692273866086,0.07292281103297671,180.26487556648055,16.66125934894012,origin_202012
lgbm,hepatite,6,23,0.11788567939688072,0.2115025190421734,0.6056012678022196,176.56108355177975,11.788567939688072,origin_202012
catboost,hepatite,6,23,0.1330731166858329,0.23477687113446913,0.5140237532130565,177.8596527060373,13.30731166858329,origin_202012
xgboost,hepatite,6,23,0.1465976969946338,0.2824721883802047,0.29651343028013843,177.75850380759928,14.659769699463379,origin_202012
prophet,hepatite,6,23,0.18724592745077578,0.37648318188124397,-0.24967068534427117,173.50586142450953,18.72459274507758,origin_202012
seasonal_naive,hepatite,12,23,0.2608695652173913,0.659380473395787,-1.6136363636363629,160.0,26.08695652173913,origin_202012
seasonal_ma3,hepatite,12,23,0.20289855029271997,0.41702882707844735,-0.0454545402617168,173.33333285649618,18.8405797533367,origin_202012
sarima,hepatite,12,23,0.25177851070656354,0.4618287529545149,-0.2821384845724011,193.9335117549978,23.159072591038782,origin_202012
lgbm,hepatite,12,23,0.2345503974127629,0.42479716317526306,-0.08476637711688961,194.20676682724223,21.278951517981366,origin_202012
catboost,hepatite,12,23,0.2533712224144432,0.4864615588072714,-0.42255823518544244,194.17193381253136,23.18067350527671,origin_202012
xgboost,hepatite,12,23,0.21340054164276176,0.39113414394920926,0.08034601227541027,193.63938697049977,19.499309316439472,origin_202012
prophet,hepatite,12,23,0.06569049440354391,0.17428731418715582,0.8173984100909457,159.64983714201165,5.16231253473523,origin_202012
seasonal_naive,hepatite,1,23,0.08695652173913043,0.29488391230979427,0.23333333333333317,88.88888888888889,8.695652173913043,origin_202112
seasonal_ma3,hepatite,1,23,0.1304347813129425,0.3869863671337498,-0.32037031959604434,116.66666629413764,13.04347813129425,origin_202112
sarima,hepatite,1,23,0.16225816339015797,0.33705998170604823,-0.0016564856767260494,182.76122923097535,16.225816339015797,origin_202112
lgbm,hepatite,1,23,0.16147189469111525,0.34162017655227295,-0.028943308660061007,184.4181543683999,16.147189469111524,origin_202112
catboost,hepatite,1,23,0.16346161829410297,0.31183543203030156,0.14265554836368932,183.88873402203515,16.346161829410295,origin_202112
xgboost,hepatite,1,23,0.15057507975269918,0.3035506113452972,0.18760611566921914,182.14023291797727,15.057507975269917,origin_202112
prophet,hepatite,1,23,0.10139016502112126,0.29842685821262765,0.2148001007882161,162.06707878157783,10.139016502112126,origin_202112
seasonal_naive,hepatite,3,23,0.43478260869565216,1.3513278493843524,0.3168316831683168,180.0,20.652173913043477,origin_202112
seasonal_ma3,hepatite,3,23,0.43478261128715845,1.3003158302282598,0.36743674281256833,190.0,20.65217417219411,origin_202112
sarima,hepatite,3,23,0.4557272417865887,1.4746324187317164,0.18646954205930832,195.33991266192768,19.30582045689095,origin_202112
lgbm,hepatite,3,23,0.4781335347874131,1.437121780798315,0.22733114724542947,195.21133847336188,22.97726851417342,origin_202112
catboost,hepatite,3,23,0.49480218145057564,1.4789434717281973,0.1817059149447079,195.2191934962363,23.622493425927548,origin_202112
xgboost,hepatite,3,23,0.4991800119573979,1.4371016589593721,0.22735278411653492,195.02042877925737,25.34809775205086,origin_202112
prophet,hepatite,3,23,0.38884450354684913,1.4433536956297686,0.2206154369349289,183.6045056952609,12.904451981507343,origin_202112
seasonal_naive,hepatite,6,23,0.2608695652173913,0.5897678246195885,-0.35294117647058876,166.66666666666669,21.73913043478261,origin_202112
seasonal_ma3,hepatite,6,23,0.28985507591910986,0.5646597056329473,-0.24019609187163615,180.0,24.63768150495446,origin_202112
sarima,hepatite,6,23,0.26465401413279893,0.5074777240437602,-0.0017301159701166302,188.38840294888232,23.14052267918884,origin_202112
lgbm,hepatite,6,23,0.2901818418248302,0.5384622727232126,-0.127787621532095,188.50289570032112,25.69202203771595,origin_202112
catboost,hepatite,6,23,0.3380007413650316,0.6132953278688966,-0.4630395824213047,190.16020461073552,30.215771627272396,origin_202112
xgboost,hepatite,6,23,0.28385175886037556,0.5205633235058734,-0.05405651418636248,187.99283273772375,25.27057974720779,origin_202112
prophet,hepatite,6,23,0.2235354279941659,0.4718533697444708,0.1339740901232107,174.40360365941098,18.91845588343264,origin_202112
seasonal_naive,hepatite,12,23,0.2608695652173913,1.2510864843424485,0.41193181818181834,120.0,3.260869565217391,origin_202112
seasonal_ma3,hepatite,12,23,0.4057971057684525,1.35845892590041,0.3066603440151675,186.2068968238785,16.48550752712333,origin_202112
sarima,hepatite,12,23,0.4318628211216489,1.4679595394762557,0.19038007397279044,197.90522326681125,16.91937839039698,origin_202112
lgbm,hepatite,12,23,0.41124477097715983,1.3386227461902362,0.3267607648076254,196.80477094558438,17.539904821538617,origin_202112
