model,disease,horizon,mae,rmse,smape
xgboost,hepatite,1,0.24343518945186032,0.5480412972371396,186.9510418369013
xgboost,hepatite,3,0.2870902359920918,0.7866023675209992,185.39045209693688
xgboost,hepatite,6,0.26444896120760264,0.5252655978898286,183.14243907597216
xgboost,hepatite,12,0.23811321210561562,0.6105139704066159,185.59177637181165
xgboost,hiv_aids,1,2.7533458447002843,6.191324457465697,73.45528503681763
xgboost,hiv_aids,3,2.1639658938283506,3.8077962663608633,85.26159297273648
xgboost,hiv_aids,6,2.3340485685545467,4.021517001858146,93.31281039294477
xgboost,hiv_aids,12,3.0038158877388295,5.683444319211371,86.01643833725466
xgboost,sifilis,1,2.47385653756235,4.423927977513632,84.05591814823377
xgboost,sifilis,3,2.677621252996766,4.755454125288783,83.9772407155979
xgboost,sifilis,6,2.3186432189591555,3.218090029961374,83.94094520654517
xgboost,sifilis,12,3.132007494811779,5.791500289428777,83.127646902618
xgboost,tuberculose,1,2.8191720558249433,4.769571978335558,65.80911599256919
xgboost,tuberculose,3,2.852163902443388,4.797964017617986,59.9761011043273
xgboost,tuberculose,6,2.7042186124169305,4.8031410767807285,60.31415291830561
xgboost,tuberculose,12,2.9508786726257075,5.5371309116536915,59.37336025593932
gru,hanseniase,1,0.18181681298978597,0.7332760506421426,192.74180805594793
gru,hanseniase,3,0.3834894457359635,0.9344561562967872,195.91380541253332
gru,hanseniase,6,0.5014534883596151,1.9128194040360087,195.75269473463436
gru,hanseniase,12,0.3719032570243067,0.8774700201285287,192.83101561294666
gru,hepatite,1,0.1670688161251851,0.5540399884671348,196.68029746923295
gru,hepatite,3,0.19435075241737843,0.9112668719120756,192.02677454835185
gru,hepatite,6,0.33897994867893544,0.6462763120104604,191.9468198939831
gru,hepatite,12,1.0459470696358562,2.172629555867914,185.60163069243785
gru,hiv_aids,1,2.8791781211314076,6.296737684576101,112.93653866355339
gru,hiv_aids,3,2.5803254685905146,5.86567233908459,115.75231490529944
gru,hiv_aids,6,3.9659912429438573,11.410801792382998,121.56549435023389
gru,hiv_aids,12,3.222031293979645,8.107463900866007,115.68632602096226
gru,sifilis,1,3.5987256813258734,6.749797321236269,118.52131760149467
gru,sifilis,3,3.327871395577475,6.061929387978111,116.1939046049129
gru,sifilis,6,3.410360105330481,5.0262684116660425,122.07467588642595
gru,sifilis,12,4.0030175641857255,6.938598770903621,103.71401136830882
gru,tuberculose,1,2.466567712238706,4.054902428724658,73.9742188564161
gru,tuberculose,3,2.964155318468566,4.832706332452395,73.61481590908367
gru,tuberculose,6,3.1319996708518136,6.679337771255242,70.29843157031193
gru,tuberculose,12,2.6658608511738153,4.856077115823534,65.07391612051315
lstm,hanseniase,1,0.19660057238108436,0.7489421711737994,193.64118536445991
lstm,hanseniase,3,0.3551382013749139,0.898371415898363,194.9085143979309
lstm,hanseniase,6,0.5003862027890362,2.0075730978417163,196.05891516735431
lstm,hanseniase,12,0.38058686645248907,0.8866818272388205,193.30011086845093
lstm,hepatite,1,0.14227145141615874,0.5143235708064293,193.91946008631118
lstm,hepatite,3,0.17301643033987427,0.7841514474194008,191.82116667094618
